"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1599907200000,0.00002793,0.00002799,0.00002793,0.00002795,106802,2.984,"force_direct","",1599907200,"2020-09-12"
1599907500000,0.00002791,0.000028,0.00002791,0.00002793,13875,0.3879,"force_direct","",1599907500,"2020-09-12"
1599907800000,0.00002795,0.00002796,0.00002791,0.00002791,753,0.02104,"force_direct","",1599907800,"2020-09-12"
1599908100000,0.00002799,0.000028,0.00002795,0.00002795,20980,0.5872,"force_direct","",1599908100,"2020-09-12"
1599908400000,0.00002803,0.00002803,0.00002797,0.00002799,19791,0.5542,"force_direct","",1599908400,"2020-09-12"
1599908700000,0.00002805,0.00002805,0.00002799,0.00002803,1017,0.02851,"force_direct","",1599908700,"2020-09-12"
1599909000000,0.00002802,0.00002805,0.00002801,0.00002805,3268,0.09157,"force_direct","",1599909000,"2020-09-12"
1599909300000,0.00002801,0.00002805,0.00002801,0.00002802,7028,0.197,"force_direct","",1599909300,"2020-09-12"
1599909600000,0.00002801,0.00002802,0.00002799,0.00002801,2108,0.05904,"force_direct","",1599909600,"2020-09-12"
1599909900000,0.00002803,0.00002803,0.000028,0.00002801,9777,0.274,"force_direct","",1599909900,"2020-09-12"
1599910200000,0.00002803,0.00002805,0.000028,0.00002803,2587,0.07248,"force_direct","",1599910200,"2020-09-12"
1599910500000,0.00002811,0.00002811,0.00002803,0.00002803,6701,0.1882,"force_direct","",1599910500,"2020-09-12"
1599910800000,0.00002808,0.00002813,0.00002807,0.00002811,539,0.01516,"force_direct","",1599910800,"2020-09-12"
1599911100000,0.00002808,0.00002809,0.00002805,0.00002808,2371,0.06657,"force_direct","",1599911100,"2020-09-12"
1599911400000,0.00002803,0.00002808,0.00002802,0.00002808,13301,0.3731,"force_direct","",1599911400,"2020-09-12"
1599911700000,0.00002793,0.00002806,0.00002793,0.00002803,16852,0.4716,"force_direct","",1599911700,"2020-09-12"
1599912000000,0.00002796,0.00002798,0.0000279,0.00002793,36227,1.012,"force_direct","",1599912000,"2020-09-12"
1599912300000,0.00002792,0.00002797,0.00002792,0.00002796,4135,0.1155,"force_direct","",1599912300,"2020-09-12"
1599912600000,0.00002779,0.00002793,0.00002776,0.00002792,34429,0.9583,"force_direct","",1599912600,"2020-09-12"
1599912900000,0.00002779,0.00002784,0.00002775,0.00002779,11764,0.3269,"force_direct","",1599912900,"2020-09-12"
1599913200000,0.00002784,0.00002784,0.00002779,0.00002779,991,0.02758,"force_direct","",1599913200,"2020-09-12"
1599913500000,0.00002778,0.00002785,0.00002775,0.00002784,1847,0.05132,"force_direct","",1599913500,"2020-09-12"
1599913800000,0.00002777,0.00002778,0.00002772,0.00002778,1395,0.03871,"force_direct","",1599913800,"2020-09-12"
1599914100000,0.00002776,0.00002779,0.00002769,0.00002777,2581,0.07158,"force_direct","",1599914100,"2020-09-12"
1599914400000,0.00002774,0.0000278,0.00002773,0.00002776,13054,0.3622,"force_direct","",1599914400,"2020-09-12"
1599914700000,0.00002771,0.00002774,0.00002749,0.00002774,112783,3.118,"force_direct","",1599914700,"2020-09-12"
1599915000000,0.00002771,0.00002774,0.00002768,0.00002771,22679,0.6287,"force_direct","",1599915000,"2020-09-12"
1599915300000,0.0000277,0.00002778,0.0000277,0.00002771,4872,0.1352,"force_direct","",1599915300,"2020-09-12"
1599915600000,0.0000277,0.00002772,0.00002761,0.0000277,8312,0.2301,"force_direct","",1599915600,"2020-09-12"
1599915900000,0.00002779,0.00002779,0.0000277,0.0000277,1281,0.03555,"force_direct","",1599915900,"2020-09-12"
1599916200000,0.0000278,0.0000278,0.00002772,0.00002779,12510,0.3475,"force_direct","",1599916200,"2020-09-12"
1599916500000,0.00002778,0.0000278,0.00002778,0.0000278,3069,0.08529,"force_direct","",1599916500,"2020-09-12"
1599916800000,0.00002768,0.00002778,0.0000276,0.00002778,20676,0.573,"force_direct","",1599916800,"2020-09-12"
1599917100000,0.0000278,0.0000278,0.00002768,0.00002768,13827,0.3838,"force_direct","",1599917100,"2020-09-12"
1599917400000,0.00002765,0.0000278,0.0000276,0.0000278,18540,0.5129,"force_direct","",1599917400,"2020-09-12"
1599917700000,0.00002757,0.00002767,0.00002752,0.00002765,13850,0.3821,"force_direct","",1599917700,"2020-09-12"
1599918000000,0.00002752,0.00002764,0.00002752,0.00002757,19219,0.5296,"force_direct","",1599918000,"2020-09-12"
1599918300000,0.00002755,0.00002759,0.00002751,0.00002752,18657,0.5139,"force_direct","",1599918300,"2020-09-12"
1599918600000,0.00002757,0.00002761,0.00002753,0.00002755,37445,1.032,"force_direct","",1599918600,"2020-09-12"
1599918900000,0.0000276,0.00002769,0.00002755,0.00002757,31292,0.8647,"force_direct","",1599918900,"2020-09-12"
1599919200000,0.00002757,0.00002762,0.00002755,0.0000276,13136,0.3625,"force_direct","",1599919200,"2020-09-12"
1599919500000,0.00002763,0.00002764,0.00002757,0.00002757,10292,0.2843,"force_direct","",1599919500,"2020-09-12"
1599919800000,0.00002766,0.00002767,0.00002763,0.00002763,15431,0.4266,"force_direct","",1599919800,"2020-09-12"
1599920100000,0.00002773,0.00002775,0.00002763,0.00002766,16472,0.4559,"force_direct","",1599920100,"2020-09-12"
1599920400000,0.00002776,0.00002776,0.00002773,0.00002773,7126,0.1978,"force_direct","",1599920400,"2020-09-12"
1599920700000,0.00002776,0.00002776,0.00002775,0.00002776,9260,0.2569,"force_direct","",1599920700,"2020-09-12"
1599921000000,0.00002776,0.00002778,0.00002773,0.00002776,13386,0.3714,"force_direct","",1599921000,"2020-09-12"
1599921300000,0.00002772,0.00002777,0.00002772,0.00002776,3012,0.08356,"force_direct","",1599921300,"2020-09-12"
1599921600000,0.00002777,0.00002777,0.00002772,0.00002772,4527,0.1256,"force_direct","",1599921600,"2020-09-12"
1599921900000,0.00002769,0.00002777,0.00002769,0.00002777,949,0.02631,"force_direct","",1599921900,"2020-09-12"
1599922200000,0.00002775,0.00002775,0.00002769,0.00002769,443,0.01227,"force_direct","",1599922200,"2020-09-12"
1599922500000,0.00002775,0.00002775,0.00002771,0.00002775,774,0.02148,"force_direct","",1599922500,"2020-09-12"
1599922800000,0.00002768,0.00002775,0.00002768,0.00002775,1189,0.03292,"force_direct","",1599922800,"2020-09-12"
1599923100000,0.00002764,0.0000277,0.00002764,0.00002768,875,0.02419,"force_direct","",1599923100,"2020-09-12"
1599923400000,0.00002771,0.00002775,0.00002764,0.00002764,3407,0.0945,"force_direct","",1599923400,"2020-09-12"
1599923700000,0.00002772,0.00002773,0.00002771,0.00002771,5086,0.141,"force_direct","",1599923700,"2020-09-12"
1599924000000,0.0000277,0.00002775,0.0000277,0.00002772,6664,0.1849,"force_direct","",1599924000,"2020-09-12"
1599924300000,0.0000277,0.00002775,0.00002769,0.0000277,2866,0.07945,"force_direct","",1599924300,"2020-09-12"
1599924600000,0.00002772,0.00002777,0.00002769,0.0000277,6867,0.1905,"force_direct","",1599924600,"2020-09-12"
1599924900000,0.00002775,0.00002775,0.00002765,0.00002772,10034,0.2778,"force_direct","",1599924900,"2020-09-12"
1599925200000,0.0000277,0.00002778,0.00002768,0.00002775,1819,0.05047,"force_direct","",1599925200,"2020-09-12"
1599925500000,0.00002771,0.00002772,0.0000277,0.0000277,287,0.007953,"force_direct","",1599925500,"2020-09-12"
1599925800000,0.0000277,0.00002775,0.0000277,0.00002771,27027,0.7496,"force_direct","",1599925800,"2020-09-12"
1599926100000,0.00002773,0.00002774,0.0000277,0.0000277,157,0.004353,"force_direct","",1599926100,"2020-09-12"
1599926400000,0.00002771,0.00002775,0.00002771,0.00002773,9330,0.2589,"force_direct","",1599926400,"2020-09-12"
1599926700000,0.00002765,0.00002771,0.00002765,0.00002771,14278,0.3951,"force_direct","",1599926700,"2020-09-12"
